Date,Open,High,Low,Close,Adj Close,Volume
2023-02-19,null,null,null,null,null,null
2023-02-21,4.103000,4.185000,4.094000,4.175000,4.175000,0
2023-02-22,4.142000,4.164000,4.116000,4.151000,4.151000,0
2023-02-23,4.147000,4.189000,4.087000,4.105000,4.105000,0
2023-02-24,4.154000,4.243000,4.152000,4.210000,4.210000,0
2023-02-26,null,null,null,null,null,null
2023-02-27,4.224000,4.224000,4.154000,4.173000,4.173000,0
2023-02-28,4.191000,4.229000,4.159000,4.168000,4.168000,0
2023-03-01,4.203000,4.279000,4.198000,4.263000,4.263000,0
2023-03-02,4.314000,4.350000,4.304000,4.325000,4.325000,0
2023-03-03,4.279000,4.317000,4.240000,4.253000,4.253000,0
2023-03-05,null,null,null,null,null,null
2023-03-06,4.198000,4.276000,4.191000,4.271000,4.271000,0
2023-03-07,4.237000,4.329000,4.218000,4.315000,4.315000,0
2023-03-08,4.329000,4.351000,4.250000,4.336000,4.336000,0
2023-03-09,4.351000,4.358000,4.186000,4.221000,4.221000,0
2023-03-10,4.089000,4.119000,3.928000,3.954000,3.954000,0
2023-03-12,null,null,null,null,null,null
2023-03-13,3.663000,3.742000,3.550000,3.666000,3.666000,0
2023-03-14,3.778000,3.909000,3.749000,3.798000,3.798000,0
2023-03-15,3.652000,3.652000,3.445000,3.578000,3.578000,0
2023-03-16,3.530000,3.750000,3.460000,3.742000,3.742000,0
2023-03-17,3.653000,3.653000,3.459000,3.466000,3.466000,0
2023-03-19,null,null,null,null,null,null
2023-03-20,3.432000,3.624000,3.432000,3.575000,3.575000,0
2023-03-21,3.710000,3.757000,3.661000,3.746000,3.746000,0
2023-03-22,3.784000,3.800000,3.517000,3.573000,3.573000,0
2023-03-23,3.544000,3.575000,3.402000,3.417000,3.417000,0
2023-03-24,3.246000,3.423000,3.246000,3.409000,3.409000,0
2023-03-26,null,null,null,null,null,null
2023-03-27,3.545000,3.610000,3.533000,3.595000,3.595000,0
2023-03-28,3.629000,3.686000,3.593000,3.662000,3.662000,0
2023-03-29,3.684000,3.722000,3.639000,3.675000,3.675000,0
2023-03-30,3.687000,3.727000,3.660000,3.663000,3.663000,0
2023-03-31,3.692000,3.699000,3.611000,3.611000,3.611000,0
